ticket_id,title,status,priority,assigned_to,created_on
64,Router malfunction,Open,High,Alice,2026-02-02
65,Corrupted OS files,Open,Critical,Bob,2026-02-03
66,Email rule misconfigured,Resolved,Low,Charlie,2026-02-04
67,Cannot access database,Open,Critical,Alice,2026-02-05
68,Print job stuck in queue,Open,Medium,Bob,2026-02-06
69,Frequent disconnections,Open,High,Charlie,2026-02-07
70,Unauthorized software detected,Resolved,Medium,Alice,2026-02-08
71,VoIP phone offline,Open,High,Bob,2026-02-09
72,Tablet not charging,Open,Low,Charlie,2026-02-10
73,Corrupted spreadsheet,Resolved,Medium,Alice,2026-02-11
74,Power supply failure,Open,Critical,Bob,2026-02-12
75,Remote access issues,Open,High,Charlie,2026-02-13
76,User profile loading slowly,Open,Medium,Alice,2026-02-14
77,Dashboard not loading,Resolved,High,Bob,2026-02-15
78,Mouse cursor lagging,Open,Low,Charlie,2026-02-16
79,Software key invalid,Open,Medium,Alice,2026-02-17
80,Server reboot required,Open,High,Bob,2026-02-18
81,Unauthorized login attempt,Resolved,Critical,Charlie,2026-02-19
82,Incorrect time sync,Open,Low,Alice,2026-02-20
83,VPN certificate expired,Open,High,Bob,2026-02-21
84,Unable to upload files,Open,Medium,Charlie,2026-02-22
85,Device driver crash,Resolved,High,Alice,2026-02-23
86,Network cable unplugged,Open,Low,Bob,2026-02-24
87,Multiple system errors,Open,Critical,Charlie,2026-02-25
88,Local admin rights missing,Resolved,Medium,Alice,2026-02-26
89,Server RAID failure,Open,Critical,Bob,2026-02-27
90,Web browser freezing,Open,High,Charlie,2026-02-28
91,Spreadsheet formulas broken,Resolved,Low,Alice,2026-03-01
92,Remote desktop not connecting,Open,Medium,Bob,2026-03-02
93,Antivirus blocking safe app,Open,Low,Charlie,2026-03-03
94,Hard disk slow response,Open,High,Alice,2026-03-04
95,Cloud sync failure,Resolved,Medium,Bob,2026-03-05
96,Audio device missing,Open,Low,Charlie,2026-03-06
97,Process stuck at startup,Open,High,Alice,2026-03-07
98,Server CPU overload,Open,Critical,Bob,2026-03-08
99,Email rules duplicated,Resolved,Low,Charlie,2026-03-09
100,App crashing after update,Open,High,Alice,2026-03-10
